Tract,Instrument,Order by Date,Image Path,Vol,Page,Inst. No.,File Date,Inst./Eff. Date,Grantor,Grantee,Land Desc.,Interest,Remarks
T01,Mineral Deed 00001,1981-01-01,phase0/import-stress/T01/image-00001.pdf,101,2,P0-00001,1981-01-02,1981-01-01,Phase 0 Grantor 002,Phase 0 Grantee 002,"Section 1, Block 1, Raven Forest Survey, Walker County, Texas",1/3,Deterministic import stress row 00001
T02,Royalty Deed 00002,1982-02-02,phase0/import-stress/T02/image-00002.pdf,102,3,P0-00002,1982-02-03,1982-02-02,Phase 0 Grantor 003,Phase 0 Grantee 003,"Section 2, Block 2, Raven Forest Survey, Walker County, Texas",1/4,Deterministic import stress row 00002
T03,Oil and Gas Lease 00003,1983-03-03,phase0/import-stress/T03/image-00003.pdf,103,4,P0-00003,1983-03-04,1983-03-03,Phase 0 Grantor 004,Phase 0 Grantee 004,"Section 3, Block 3, Raven Forest Survey, Walker County, Texas",1/5,Deterministic import stress row 00003
T04,Assignment 00004,1984-04-04,phase0/import-stress/T04/image-00004.pdf,104,5,P0-00004,1984-04-05,1984-04-04,Phase 0 Grantor 005,Phase 0 Grantee 005,"Section 4, Block 4, Raven Forest Survey, Walker County, Texas",1/6,Deterministic import stress row 00004
T05,Ratification 00005,1985-05-05,phase0/import-stress/T05/image-00005.pdf,105,6,P0-00005,1985-05-06,1985-05-05,Phase 0 Grantor 006,Phase 0 Grantee 006,"Section 5, Block 5, Raven Forest Survey, Walker County, Texas",1/7,Deterministic import stress row 00005
T06,Warranty Deed 00006,1986-06-06,phase0/import-stress/T06/image-00006.pdf,106,7,P0-00006,1986-06-07,1986-06-06,Phase 0 Grantor 007,Phase 0 Grantee 007,"Section 6, Block 6, Raven Forest Survey, Walker County, Texas",1/8,Deterministic import stress row 00006
T07,Mineral Deed 00007,1987-07-07,phase0/import-stress/T07/image-00007.pdf,107,8,P0-00007,1987-07-08,1987-07-07,Phase 0 Grantor 008,Phase 0 Grantee 008,"Section 7, Block 7, Raven Forest Survey, Walker County, Texas",1/9,Deterministic import stress row 00007
T08,Royalty Deed 00008,1988-08-08,phase0/import-stress/T08/image-00008.pdf,108,9,P0-00008,1988-08-09,1988-08-08,Phase 0 Grantor 009,Phase 0 Grantee 009,"Section 8, Block 1, Raven Forest Survey, Walker County, Texas",1/10,Deterministic import stress row 00008
T09,Oil and Gas Lease 00009,1989-09-09,phase0/import-stress/T09/image-00009.pdf,109,10,P0-00009,1989-09-10,1989-09-09,Phase 0 Grantor 010,Phase 0 Grantee 010,"Section 9, Block 2, Raven Forest Survey, Walker County, Texas",1/11,Deterministic import stress row 00009
T10,Assignment 00010,1990-10-10,phase0/import-stress/T10/image-00010.pdf,110,11,P0-00010,1990-10-11,1990-10-10,Phase 0 Grantor 011,Phase 0 Grantee 011,"Section 10, Block 3, Raven Forest Survey, Walker County, Texas",1/12,Deterministic import stress row 00010
T01,Ratification 00011,1991-11-11,phase0/import-stress/T01/image-00011.pdf,111,12,P0-00011,1991-11-12,1991-11-11,Phase 0 Grantor 012,Phase 0 Grantee 012,"Section 1, Block 4, Raven Forest Survey, Walker County, Texas",1/13,Deterministic import stress row 00011
T02,Warranty Deed 00012,1992-12-12,phase0/import-stress/T02/image-00012.pdf,112,13,P0-00012,1992-12-13,1992-12-12,Phase 0 Grantor 013,Phase 0 Grantee 013,"Section 2, Block 5, Raven Forest Survey, Walker County, Texas",1/14,Deterministic import stress row 00012
T03,Mineral Deed 00013,1993-01-13,phase0/import-stress/T03/image-00013.pdf,113,14,P0-00013,1993-01-14,1993-01-13,Phase 0 Grantor 014,Phase 0 Grantee 014,"Section 3, Block 6, Raven Forest Survey, Walker County, Texas",1/15,Deterministic import stress row 00013
T04,Royalty Deed 00014,1994-02-14,phase0/import-stress/T04/image-00014.pdf,114,15,P0-00014,1994-02-15,1994-02-14,Phase 0 Grantor 015,Phase 0 Grantee 015,"Section 4, Block 7, Raven Forest Survey, Walker County, Texas",1/16,Deterministic import stress row 00014
